,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
3037,3037,Kepler-1491,b,Kepler-1491 b,1,16.586176199999997,,,,,5728.0,1.0,0.99,0,,1.51,0.28746,,,,4.57,,1,0,1312.0,15.589,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1491_b/
3038,3038,Kepler-612,b,Kepler-612 b,1,3.72215641,,,,,5693.0,0.98,0.96,0,,2.84,0.082963,,,,4.47,,1,0,932.0,14.911,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-612_b/
3039,3039,Kepler-1575,b,Kepler-1575 b,1,2.55314213,,,,,5667.0,0.95,0.92,0,,1.31,0.07742,,,,4.17,,1,0,1170.0,15.424000000000001,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1575_b/
3040,3040,Kepler-44,b,Kepler-44 b,1,3.2467292999999997,0.0446,0.066,1.0,0.93,5800.0,1.12,1.35,0,1544.0,12.22,0.1302,7.07,,0.63,5.8,,1,0,1229.15,14.677999999999999,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-44_b/
3041,3041,Kepler-1079,b,Kepler-1079 b,1,13.24503188,,,,,5758.0,1.08,1.36,0,,1.63,0.18195999999999998,,,,6.61,,1,0,481.0,12.584000000000001,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1079_b/
3042,3042,Kepler-1178,b,Kepler-1178 b,1,31.806340000000002,,,,,4990.0,0.8,0.75,0,,1.07,0.15808,,,,4.68,,1,0,336.0,13.831,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1178_b/
3043,3043,Kepler-1007,b,Kepler-1007 b,1,5.18500207,,,,,4587.0,0.73,0.7,0,,1.44,0.090712,,,,4.17,,1,0,365.0,14.744000000000002,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1007_b/
3044,3044,Kepler-1111,b,Kepler-1111 b,1,8.79617863,,,,,6077.0,1.1,1.15,0,,2.0,0.14160799999999998,,,,3.16,,1,0,1142.0,15.159,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1111_b/
3045,3045,Kepler-254,d,Kepler-254 d,3,18.746477,0.139,,,,5957.0,,0.91,0,,2.5,0.165,,,,,,1,0,1446.45,15.843,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-254_d/
3046,3046,Kepler-254,c,Kepler-254 c,3,12.412183,0.105,,,,5957.0,,0.91,0,,2.15,0.1401,,,,,,1,0,1446.45,15.843,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-254_c/
